+-----------+--------+-----------------+
|    Name   | Median | Fail Percentage |
+-----------+--------+-----------------+
|  ACMA 210 |   C+   |  18.7817258883  |
|  ACMA 315 |  B/B+  |       0.0       |
|  ACMA 320 |   B-   |  3.92156862745  |
|  ACMA 335 |   B+   |  1.35135135135  |
|  ACMA 395 |   B+   |       0.0       |
|  ACMA 425 |   B    |       0.0       |
|  ACMA 445 |   B+   |  1.72413793103  |
|  ACMA 465 |   A-   |       6.25      |
|  ACMA 470 |   A-   |       0.0       |
|  ACMA 475 |   B+   |  1.35135135135  |
|  ACMA 490 |   A-   |       0.0       |
|  ARAB 134 |   A-   |  2.80373831776  |
|  ARAB 148 |   B+   |       0.0       |
|  ARCH 100 |   B    |  3.19900290818  |
|  ARCH 131 |   B-   |  2.51916757941  |
|  ARCH 201 |   B-   |  5.15021459227  |
|  ARCH 252 |   B    |  2.51256281407  |
|  ARCH 272 |   B    |  1.38888888889  |
| ARCH 272W |   B    |  2.47933884298  |
|  ARCH 273 |   B    |  1.88679245283  |
|  ARCH 285 |   B+   |  0.990099009901 |
|  ARCH 301 |   B-   |  5.77427821522  |
|  ARCH 321 |   B+   |  1.57894736842  |
|  ARCH 322 |   A    |       0.0       |
|  ARCH 329 |   A    |  3.44827586207  |
|  ARCH 331 |   B+   |       0.0       |
|  ARCH 332 |   B+   |  0.757575757576 |
|  ARCH 333 |   B+   |       0.0       |
|  ARCH 334 |   B    |  19.2307692308  |
|  ARCH 339 |   A    |       0.0       |
|  ARCH 340 |   A-   |       0.0       |
|  ARCH 344 |   B+   |       0.0       |
|  ARCH 348 |   B+   |  2.38095238095  |
|  ARCH 349 |   B+   |       0.0       |
|  ARCH 363 |   B+   |       5.0       |
|  ARCH 365 |   B    |       0.0       |
|  ARCH 367 |   A-   |       0.0       |
|  ARCH 372 |   B+   |  0.790513833992 |
|  ARCH 373 |   B    |   1.8315018315  |
|  ARCH 375 |   B    |  1.51515151515  |
|  ARCH 376 |   B+   |       0.0       |
|  ARCH 377 |   B+   |   1.6393442623  |
|  ARCH 378 |   B+   |  1.40845070423  |
|  ARCH 383 |   B+   |       0.0       |
|  ARCH 385 |   A-   |  11.1111111111  |
|  ARCH 386 |   B+   |       0.0       |
|  ARCH 390 |   B    |  10.5263157895  |
|  ARCH 433 |   A-   |       0.0       |
|  ARCH 434 |   A-   |       0.0       |
|  ARCH 438 |   A-   |       0.0       |
|  ARCH 442 |   B+   |       0.0       |
|  ARCH 452 |   B+   |       0.0       |
| ARCH 471W |   B    |  2.47524752475  |
|  ARCH 479 |   A    |  2.04081632653  |
|  ARCH 480 |   A    |       0.0       |
|  ARCH 485 |   B+   |  1.81818181818  |
|  ARCH 498 |   A    |       0.0       |
|  ARCH 499 |   A    |       0.0       |
|  ASC 101  |   B    |   2.5787965616  |
|  ASC 102  |   B    |  1.85873605948  |
|  ASC 200  |   B-   |  0.909090909091 |
